# tauvisc_Myr, Mstar_Msol, FUV_G0, Mdisc_Msol, Rscale_au, alphavisc, Tdisp_Myr
5.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+02,5.000000000000000278e-02,4.000000000000000000e+01,1.527350647362942784e-03,1.000000000000000000e+01
5.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+03,5.000000000000000278e-02,4.000000000000000000e+01,1.527350647362942784e-03,1.000000000000000000e+01
5.000000000000000000e+00,5.000000000000000000e-01,5.000000000000000000e+03,5.000000000000000278e-02,4.000000000000000000e+01,1.527350647362942784e-03,2.374759979422772727e+00
5.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+04,5.000000000000000278e-02,4.000000000000000000e+01,1.527350647362942784e-03,8.180152925887792525e-01
5.000000000000000000e+00,8.000000000000000444e-01,1.000000000000000000e+01,8.000000000000001554e-02,4.000000000000000000e+01,1.207476707849886423e-03,1.000000000000000000e+01
5.000000000000000000e+00,8.000000000000000444e-01,1.000000000000000000e+02,8.000000000000001554e-02,4.000000000000000000e+01,1.207476707849886423e-03,1.000000000000000000e+01
5.000000000000000000e+00,8.000000000000000444e-01,1.000000000000000000e+03,8.000000000000001554e-02,4.000000000000000000e+01,1.207476707849886423e-03,1.000000000000000000e+01
5.000000000000000000e+00,8.000000000000000444e-01,5.000000000000000000e+03,8.000000000000001554e-02,4.000000000000000000e+01,1.207476707849886423e-03,5.281086725056536757e+00
5.000000000000000000e+00,8.000000000000000444e-01,1.000000000000000000e+04,8.000000000000001554e-02,4.000000000000000000e+01,1.207476707849886423e-03,1.441487500928329446e+00
5.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000056e-01,4.000000000000000000e+01,1.080000000000000014e-03,1.000000000000000000e+01
5.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000056e-01,4.000000000000000000e+01,1.080000000000000014e-03,1.000000000000000000e+01
5.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000056e-01,4.000000000000000000e+01,1.080000000000000014e-03,1.000000000000000000e+01
5.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+03,1.000000000000000056e-01,4.000000000000000000e+01,1.080000000000000014e-03,5.035105222074000686e+00
5.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+04,1.000000000000000056e-01,4.000000000000000000e+01,1.080000000000000014e-03,2.779179826403358700e+00
5.000000000000000000e+00,1.300000000000000044e+00,1.000000000000000000e+01,1.300000000000000044e-01,4.000000000000000000e+01,9.472226608515914997e-04,1.000000000000000000e+01
5.000000000000000000e+00,1.300000000000000044e+00,1.000000000000000000e+02,1.300000000000000044e-01,4.000000000000000000e+01,9.472226608515914997e-04,1.000000000000000000e+01
5.000000000000000000e+00,1.300000000000000044e+00,1.000000000000000000e+03,1.300000000000000044e-01,4.000000000000000000e+01,9.472226608515914997e-04,1.000000000000000000e+01
5.000000000000000000e+00,1.300000000000000044e+00,5.000000000000000000e+03,1.300000000000000044e-01,4.000000000000000000e+01,9.472226608515914997e-04,5.958619559920065534e+00
5.000000000000000000e+00,1.300000000000000044e+00,1.000000000000000000e+04,1.300000000000000044e-01,4.000000000000000000e+01,9.472226608515914997e-04,2.860661573069481545e+00
5.000000000000000000e+00,1.600000000000000089e+00,1.000000000000000000e+01,1.600000000000000311e-01,4.000000000000000000e+01,8.538149682454624799e-04,1.000000000000000000e+01
5.000000000000000000e+00,1.600000000000000089e+00,1.000000000000000000e+02,1.600000000000000311e-01,4.000000000000000000e+01,8.538149682454624799e-04,1.000000000000000000e+01
5.000000000000000000e+00,1.600000000000000089e+00,1.000000000000000000e+03,1.600000000000000311e-01,4.000000000000000000e+01,8.538149682454624799e-04,1.000000000000000000e+01
5.000000000000000000e+00,1.600000000000000089e+00,5.000000000000000000e+03,1.600000000000000311e-01,4.000000000000000000e+01,8.538149682454624799e-04,7.645114758340151973e+00
5.000000000000000000e+00,1.600000000000000089e+00,1.000000000000000000e+04,1.600000000000000311e-01,4.000000000000000000e+01,8.538149682454624799e-04,2.920054775947467984e+00
5.000000000000000000e+00,1.899999999999999911e+00,1.000000000000000000e+01,1.900000000000000022e-01,4.000000000000000000e+01,7.835143501188125432e-04,1.000000000000000000e+01
5.000000000000000000e+00,1.899999999999999911e+00,1.000000000000000000e+02,1.900000000000000022e-01,4.000000000000000000e+01,7.835143501188125432e-04,1.000000000000000000e+01
5.000000000000000000e+00,1.899999999999999911e+00,1.000000000000000000e+03,1.900000000000000022e-01,4.000000000000000000e+01,7.835143501188125432e-04,1.000000000000000000e+01
5.000000000000000000e+00,1.899999999999999911e+00,5.000000000000000000e+03,1.900000000000000022e-01,4.000000000000000000e+01,7.835143501188125432e-04,8.428373957914688575e+00
5.000000000000000000e+00,1.899999999999999911e+00,1.000000000000000000e+04,1.900000000000000022e-01,4.000000000000000000e+01,7.835143501188125432e-04,2.576938261856169810e+00
